"","num","taxNum","taxon","rawImprovement","IC"
"1",0,NA,NA,NA,9065.99623417817
"2",1,"241","Quercus georgiana|QUE001055",204.91350955007,9270.90974372824
"3",2,"30","Quercus rugosa|QUE002665",107.073584775429,9377.98332850367
"4",3,"185","Quercus sartorii|QUE000549",104.769508527017,9482.75283703069
"5",4,"8","Quercus intricata|QUE002842",89.1083832012464,9571.86122023193
"6",5,"5","Quercus sp.|QUE002663",30.690919268076,9602.55213950001
"7",6,"163","Quercus imbricaria|QUE000130",30.2027468780288,9632.75488637804
"8",7,"283","Quercus faginea|QUE000993",21.9234972048671,9654.6783835829
"9",8,"316","Quercus deserticola|QUE000429",15.4493210887758,9670.12770467168
"10",9,"299","Quercus arizonica|QUE002003",17.2684912975528,9687.39619596923
"11",10,"242","Quercus falcata|QUE000183",9.62709716076643,9697.02329313
"12",11,"199","Quercus planipocula|QUE000848",8.02306255869371,9705.04635568869
"13",12,"184","Quercus sapotifolia|QUE000540",3.03781351466932,9708.08416920336
"14",13,"211","Quercus acutifolia|QUE000276",29.38128082004,9737.4654500234
